,SET,Code,Unnamed: 0,id,artist,album,name,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,Score,sad_score,happy_score,angry_score,fear_score
19,T,UHIH19,65,3xF15SqY32Mno3UUMBirhU,Vishal-Shekhar,Hasee Toh Phasee (Original Motion Picture Soundtrack),Zehnaseeb,217440,0.623,0.361,0.595,0.000136,0.353,0.418,-6.342,0.0331,78.029,7,4,Happy,0,0,0,0,
0,A,UHIE3,32,78LZUVqzZzsuNfT6G782pP,Krsna Solo,Tanu Weds Manu Returns (Original Motion Picture Soundtrack),"Banno (From ""Tannu Weds Manu Returns"")",196172,0.758,0.138,0.877,0.0000192,0.085,0.707,-5.047,0.0806,108.011,7,4,Energetic,0,0,0,0,
1,B,UHIE11,8,3fPgIknlkDWXs1l2noKZbp,Badshah,The Badshah of Party Hits,Kar Gayi Chull,187710,0.827,0.0316,0.737,0.000322,0.211,0.873,-5.473,0.0764,121.99,11,4,Energetic,-1,0.666666667,0,0,
2,C,UHIE5,202,2r32XiAWtZbT3eLUvf4pag,Ram Sampath,Talaash,Jee Le Zaraa,215202,0.584,0.447,0.698,0,0.0699,0.436,-6.61,0.0376,79.993,4,4,Energetic,1,-1,0,0,
3,D,UHIE9,343,5DIt4eq2D6CZjX1s5jwrnP,Badshah,"Tere Naal Nachna (From ""Nawabzaade"")","Tere Naal Nachna (From ""Nawabzaade"")",166614,0.912,0.193,0.677,0,0.0939,0.94,-4.212,0.0713,115.061,0,4,Energetic,0,-2,0,0,
4,E,UHIE10,349,6GwjeSBaJ7C8yZXklaXXY1,Various Artists,Yaariyan,Sunny Sunny,243319,0.794,0.00138,0.878,0.029,0.197,0.352,-7.502,0.078,129.978,11,4,Energetic,-0.5,-1,0.5,0,
5,F,UHIE17,63,388WAWA88apG48Xjy8sEoj,Penn Masala,Panoramic,Bahara,223533,0.465,0.114,0.7,0.0000332,0.13,0.546,-6.768,0.0396,87.724,11,4,Energetic,2,-2,0,0.5,
6,G,UHIE6,373,7wW9scVNLYFLsmBb1yAUmS,Yo Yo Honey Singh,Blue Eyes,Blue Eyes,220943,0.77,0.137,0.51,0.000106,0.0346,0.533,-5.469,0.192,188.067,10,4,Energetic,0.333333333,-2,1.333333333,0,
7,H,UHIE8,25,102txb31XbUWOsccLOd7tp,Neha Kakkar,Best Of Neha Kakkar,"Cheez Badi (From ""Machine"")",222520,0.704,0.153,0.772,0.00123,0.147,0.778,-4.353,0.0436,97.008,1,4,Energetic,-0.5,0.5,-0.5,-0.5,
8,I,UHIE13,73,06AzjEqvljiGphKVlV8Sbm,Mixed,Individual (Special Edition),Tamma Tamma Again,199418,0.728,0.0833,0.828,0.000203,0.104,0.722,-5.042,0.0557,122.993,2,4,Energetic,-1,2,0,-0.5,
9,J,UHIE2,351,0t4OUMPCxSFbUqcyyrojn5,Sajid-Wajid,Rowdy Rathore (Original Motion Picture Soundtrack),Chinta Ta Ta Chita Chita,261346,0.765,0.249,0.899,0.00108,0.0588,0.797,-2.096,0.247,67.508,11,4,Energetic,0,-0.5,0,0,
10,K,UHIE15,347,4H2wyTfSobQHsVnt2JYPMf,Various Artists,"Koka (From ""Khandaani Shafakhana"")","Koka (From ""Khandaani Shafakhana"")",176091,0.873,0.172,0.963,0.000176,0.0233,0.906,-1.376,0.104,94.004,7,4,Energetic,0,-1.5,0.5,0,
11,L,UHIE4,303,67ZZqOrQH4Bshguxw9GPkh,Badshah,The Badshah of Party Hits,Let's Nacho,215075,0.742,0.0906,0.947,0.0221,0.0721,0.88,-3.749,0.0321,130.043,0,4,Energetic,0,-1,0,0,
12,M,UHIE7,363,1lBYgFwMRvvwgEhdAZTWVu,Sneha Khanwalkar,Khoobsurat,Maa Ka Phone,247461,0.692,0.0279,0.811,0.0000127,0.274,0.898,-7.841,0.0573,146.011,1,4,Energetic,-0.5,-2,3,2.5,
13,N,UHIE1,329,71s7tZo8OGlN3VXyURWLUr,Pritam,Desi Boyz,Make Some Noise For The Desi Boyz,244067,0.692,0.0188,0.954,0,0.151,0.89,-3.93,0.0915,141.98,2,4,Energetic,0,0,0,0,
14,O,UHIE12,342,2XRLvCsXq2Vzxki0xKUQjl,Saemy,Papa Hai (Deluxe Edition),Papa Hai - Deluxe Edition,201528,0.905,0.168,0.433,0.00000116,0.32,0.536,-11.725,0.318,120.019,9,4,Energetic,0,-1.5,0.5,0,
15,P,UHIE18,360,2AjGLmuZK1fu21n1IpB9RU,Vishal-Shekhar,Tiger Zinda Hai,Swag Se Swagat,235944,0.825,0.0212,0.559,0.000689,0.205,0.207,-7.907,0.0722,105.957,1,4,Energetic,0.333333333,0.333333333,0,0,
16,Q,UHIE16,387,6qrb4ganbSTzcDDOo1pzMT,Amit Trivedi,Kedarnath,Sweetheart,212195,0.768,0.376,0.806,0.00000165,0.0787,0.925,-6.277,0.0517,123.039,8,4,Energetic,0,0,-1,0,
17,R,UHIE20,3,2zZTXtLqCsICzEcztKjn47,Pritam,Cocktail,"Tum Hi Ho Bandhu (From ""Cocktail"")",282012,0.714,0.00145,0.892,0.000817,0.0462,0.899,-5.342,0.0516,134.997,11,4,Energetic,0,0.5,0,-0.5,
18,S,UHIE14,339,42C9YmmOF7PkiHWpulxzcq,Tesher,Young Shahrukh,Young Shahrukh,159427,0.909,0.0323,0.449,0,0.087,0.685,-9.912,0.263,95.001,8,4,Energetic,0,0,0.333333333,0,
19,T,UHIE19,52,5raWEZXYAapq6Qw1GIEIkU,Ajay-Atul,Dhadak,Zingaat,226501,0.834,0.359,0.788,0.27,0.396,0.705,-7.294,0.213,130.032,6,4,Energetic,0,-1,0,0,
